127.0.0.1 - - [08/Aug/2019:09:25:30 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:35 +0900] "GET /test/ HTTP/1.1" 200 16304
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:36 +0900] "GET /test/images/extra.jpg HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:36 +0900] "GET /test/resources/videos/index.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:36 +0900] "GET /test/resources/videos/index.mp4 HTTP/1.1" 206 9384
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:38 +0900] "GET /test/resources/videos/index.mp4 HTTP/1.1" 206 6530216
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:39 +0900] "GET /test/chart.do HTTP/1.1" 200 6241
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:39 +0900] "GET /test/resources/js/chart.js HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:25:43 +0900] "POST /test/musicsearch.do HTTP/1.1" 200 22170
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:09 +0900] "GET /test/join.do HTTP/1.1" 200 12439
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:09 +0900] "GET /test/resources/js/register.js HTTP/1.1" 200 4655
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:23 +0900] "GET /test/idChk.do?id=lotus526 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:25 +0900] "GET /test/idChk.do?id=lotus526 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:29 +0900] "GET /test/idChk.do?id=lotus526 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:30 +0900] "GET /test/idChk.do?id=lotus526 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:36 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:36 +0900] "GET /test/ HTTP/1.1" 200 16304
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:37 +0900] "GET /test/resources/videos/index.mp4 HTTP/1.1" 206 196608
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:37 +0900] "GET /test/images/extra.jpg HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/ HTTP/1.1" 200 16304
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/styles/bootstrap-4.1.2/bootstrap.min.css HTTP/1.1" 200 142041
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/OwlCarousel2-2.2.1/owl.carousel.css HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/OwlCarousel2-2.2.1/owl.theme.default.css HTTP/1.1" 200 1333
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/styles/responsive.css HTTP/1.1" 200 5352
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/styles/main_styles.css HTTP/1.1" 200 23860
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/OwlCarousel2-2.2.1/animate.css HTTP/1.1" 200 73460
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/js/home.js HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/styles/bootstrap-4.1.2/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/styles/bootstrap-4.1.2/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/greensock/TweenMax.min.js HTTP/1.1" 200 112880
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/greensock/TimelineMax.min.js HTTP/1.1" 200 20489
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/scrollmagic/ScrollMagic.min.js HTTP/1.1" 200 17293
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/greensock/animation.gsap.min.js HTTP/1.1" 200 1288
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/greensock/ScrollToPlugin.min.js HTTP/1.1" 200 3395
0:0:0:0:0:0:0:1 - - [08/Aug/2019:09:35:38 +0900] "GET /test/resources/plugins/easing/easing.js HTTP/1.1" 200 8101
